Time;OrderID;ItemID;MenuItem;Side 1;Side 2
10/6/24 10:11;1;1;Small Platter - Ribs;Green Beans;
10/6/24 10:11;1;2;Sandwich - Pulled Pork;Fries;
10/6/24 10:15;2;1;Sandwich - Brisket;Fries;
10/6/24 10:15;2;2;Small Platter - Pulled Pork;Baked Beans;
10/6/24 10:19;3;1;Sandwich - Pulled Pork;Fries;
10/6/24 10:19;3;2;Sandwich - Pulled Pork;Fries;
10/6/24 10:26;4;1;Sandwich - Pulled Pork;Fries;
10/6/24 10:29;5;1;Sandwich - Brisket;Mac and Cheese;
10/6/24 10:35;6;1;Small Platter - Pulled Pork;Green Beans;
10/6/24 10:38;7;1;Sandwich - Pulled Pork;Fries;
10/6/24 10:38;7;2;Small Platter - Ribs;Fries;
10/6/24 10:38;7;3;Small Platter - Brisket;Fries;
10/6/24 10:38;7;4;Large Platter - Pulled Pork;Baked Beans;Mac and Cheese
10/6/24 10:38;7;5;Sandwich - Brisket;Fries;
10/6/24 11:03;8;1;Sandwich - Brisket;Fries;
10/6/24 11:08;9;1;Large Platter - Ribs;Mac and Cheese;Mac and Cheese
10/6/24 11:09;10;1;Sandwich - Pulled Pork;Mac and Cheese;
10/6/24 11:10;11;1;Small Platter - Ribs;Mac and Cheese;
10/6/24 11:10;12;1;Large Platter - Pulled Pork;Mac and Cheese;Baked Beans
10/6/24 11:13;13;1;Large Platter - Ribs;Mac and Cheese;Mac and Cheese
10/6/24 11:13;13;2;Sandwich - Pulled Pork;Fries;
10/6/24 11:13;14;1;Sandwich - Pulled Pork;Fries;
10/6/24 11:13;14;2;Large Platter - Ribs;Mac and Cheese;Mac and Cheese
10/6/24 11:16;15;1;Large Platter - Brisket;Mac and Cheese;Baked Beans
10/6/24 11:16;15;2;Small Platter - Pulled Pork;Baked Beans;
10/6/24 11:21;16;1;Small Platter - Pulled Pork;Mac and Cheese;
10/6/24 11:21;16;2;Small Platter - Brisket;Mac and Cheese;
10/6/24 11:22;17;1;Large Platter - Pulled Pork;Baked Beans;Mac and Cheese
10/6/24 11:22;17;2;Sandwich - Brisket;Fries;
10/6/24 11:22;18;1;Small Platter - Ribs;Green Beans;
10/6/24 11:26;19;1;Large Platter - Pulled Pork;Green Beans;Baked Beans
10/6/24 11:26;19;2;Small Platter - Pulled Pork;Green Beans;
10/6/24 11:31;20;1;Small Platter - Pulled Pork;Fries;
10/6/24 11:31;20;2;Small Platter - Brisket;Fries;
10/6/24 11:33;21;1;Sandwich - Brisket;Mac and Cheese;
10/6/24 11:36;22;1;Small Platter - Pulled Pork;Baked Beans;
10/6/24 11:36;23;1;Small Platter - Ribs;Baked Beans;
10/6/24 11:36;23;2;Sandwich - Brisket;Fries;
10/6/24 11:37;24;1;Large Platter - Pulled Pork;Green Beans;Baked Beans
10/6/24 11:37;25;1;Large Platter - Ribs;Green Beans;Baked Beans
10/6/24 11:37;26;1;Large Platter - Ribs;Mac and Cheese;Green Beans
10/6/24 11:37;26;2;Sandwich - Brisket;Fries;
10/6/24 11:39;27;1;Small Platter - Pulled Pork;Baked Beans;
10/6/24 11:43;28;1;Small Platter - Ribs;Mac and Cheese;
10/6/24 11:43;28;2;Sandwich - Pulled Pork;Green Beans;
10/6/24 11:44;29;1;Large Platter - Ribs;Mac and Cheese;Mac and Cheese
10/6/24 11:50;30;1;Small Platter - Pulled Pork;Green Beans;
10/6/24 11:50;30;2;Large Platter - Brisket;Green Beans;Mac and Cheese
10/6/24 11:51;31;1;Small Platter - Brisket;Green Beans;
10/6/24 11:51;31;2;Large Platter - Pulled Pork;Fries;Baked Beans
10/6/24 11:54;32;1;Sandwich - Pulled Pork;Fries;
10/6/24 11:55;33;1;Small Platter - Pulled Pork;Mac and Cheese;
10/6/24 11:55;33;2;Sandwich - Pulled Pork;Fries;
10/6/24 11:57;34;1;Small Platter - Brisket;Mac and Cheese;
10/6/24 11:57;34;2;Sandwich - Brisket;Fries;
10/6/24 11:57;34;3;Sandwich - Brisket;Fries;
10/6/24 11:57;34;4;Large Platter - Pulled Pork;Mac and Cheese;Mac and Cheese
10/6/24 11:57;34;5;Sandwich - Pulled Pork;Fries;
10/6/24 12:00;35;1;Small Platter - Brisket;Mac and Cheese;
10/6/24 12:00;35;2;Small Platter - Ribs;Green Beans;
10/6/24 12:04;36;1;Small Platter - Ribs;Green Beans;
10/6/24 12:04;36;2;Large Platter - Pulled Pork;Mac and Cheese;Green Beans
10/6/24 12:04;36;3;Sandwich - Brisket;Fries;
10/6/24 12:05;37;1;Small Platter - Ribs;Green Beans;
10/6/24 12:05;37;2;Small Platter - Pulled Pork;Mac and Cheese;
10/6/24 12:05;37;3;Small Platter - Ribs;Fries;
10/6/24 12:05;37;4;Sandwich - Pulled Pork;Fries;
10/6/24 12:05;37;5;Sandwich - Pulled Pork;Fries;
10/6/24 12:05;37;6;Small Platter - Brisket;Fries;
10/6/24 12:08;38;1;Large Platter - Brisket;Mac and Cheese;Baked Beans
10/6/24 12:10;39;1;Large Platter - Brisket;Mac and Cheese;Baked Beans
10/6/24 12:10;39;2;Small Platter - Pulled Pork;Baked Beans;
